City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,zheleznodorozhnyy,55.7503,38.0042,0.75,89,73,2.24,RU,1731451909
330,mount pearl,47.5166,-52.7813,13.18,98,100,6.69,CA,1731451910
331,six-fours-les-plages,43.0938,5.84,15.73,63,96,4.02,FR,1731451911
332,coyhaique,-45.5752,-72.0662,8.28,100,100,3.57,CL,1731451659
333,rawson,-43.3002,-65.1023,19.16,32,0,4.12,AR,1731451913
334,orange cove,36.6244,-119.3137,15.13,60,40,1.54,US,1731451914
335,kalifornsky,60.4183,-151.29,-6.83,93,0,1.54,US,1731451915
336,magadan,59.5667,150.8,-14.58,71,100,4.58,RU,1731451916
337,belmonte,-15.8631,-38.8828,25.2,86,3,5.46,BR,1731451917
338,sanming,26.2486,117.6186,18.44,93,100,1.31,CN,1731451918
339,le port,-20.9373,55.2919,21.98,96,46,1.89,RE,1731451920
340,port moresby,-9.4431,147.1797,28.68,74,40,1.54,PG,1731451921
341,tanout,14.9709,8.8879,24.5,21,0,4.5,NE,1731451922
342,oodweyne,9.4092,45.064,21.46,32,1,3.88,SO,1731451923
343,kanniyakumari,8.0833,77.5667,26.7,78,51,3.63,IN,1731451924
344,thunder bay,48.4001,-89.3168,4.99,65,20,3.6,CA,1731451806
345,mulchen,-37.7167,-72.2333,18.23,50,28,4.79,CL,1731451645
346,ankazoabo,-22.2833,44.5167,25.4,58,70,2.23,MG,1731451927
347,gizo,-8.103,156.8419,28.43,73,98,1.3,SB,1731451928
348,dolores,-36.3132,-57.6792,15.52,52,82,0.75,AR,1731451929
349,antofagasta,-23.65,-70.4,17.6,83,3,1.74,CL,1731451663
350,brazzaville,-4.2658,15.2832,24.77,81,36,0.73,CG,1731451931
351,cidreira,-30.1811,-50.2056,17.24,62,10,4.84,BR,1731451932
352,agadez,19.75,10.25,20.69,24,1,2.51,NE,1731451934
353,mezhdurechenskiy,59.6,65.9333,-12.05,94,83,3.0,RU,1731451935
354,kapuskasing,49.4169,-82.4331,-0.95,93,100,2.57,CA,1731451739
355,jaisalmer,26.9147,70.9181,24.39,32,0,2.67,IN,1731451937
356,balnearia,-31.0088,-62.6673,23.59,29,0,2.86,AR,1731451938
357,alto barinas,8.5931,-70.2261,26.93,74,75,3.34,VE,1731451916
358,borogontsy,62.6683,131.1683,-23.85,99,94,2.7,RU,1731451940
359,minas de marcona,-15.2119,-75.1103,15.83,70,42,4.2,PE,1731451941
360,ar ruways,24.1103,52.7306,24.64,70,0,2.31,AE,1731451942
